CountryCode,Population
AFG,1780000
AFG,237500
AFG,186800
AFG,127800
NLD,731200
NLD,593321
NLD,440900
NLD,234323
NLD,201843
NLD,193238
NLD,172701
NLD,160398
NLD,153491
NLD,152463
NLD,149544
NLD,148772
NLD,142465
NLD,138020
NLD,135621
NLD,129170
NLD,126270
NLD,122087
NLD,119811
NLD,117196
NLD,110722
NLD,110214
NLD,105853
NLD,105819
NLD,101574
NLD,95268
NLD,95052
NLD,92713
ANT,2345
ALB,270000
DZA,2168000
DZA,609823
DZA,443727
DZA,222518
DZA,183377
DZA,179055
DZA,153106
DZA,128747
DZA,128281
DZA,127284
DZA,117162
DZA,115212
DZA,112007
DZA,110242
DZA,107311
DZA,100118
DZA,96794
DZA,89415
ASM,5200
ASM,2323
AND,21189
AGO,2022000
AGO,163100
AGO,130000
AGO,128300
AGO,118200
AIA,961
AIA,595
ATG,24000
ARE,669181
ARE,398695
ARE,320095
ARE,225970
ARE,114395
ARG,2982146
ARG,1266461
ARG,1157507
ARG,907718
ARG,622013
ARG,559249
ARG,538918
ARG,521936
ARG,512880
ARG,470809
ARG,469735
ARG,463846
ARG,422542
ARG,367550
ARG,356993
ARG,353063
ARG,353046
ARG,352311
ARG,349246
ARG,315432
ARG,306341
ARG,296226
ARG,290335
ARG,288341
ARG,276916
ARG,258103
ARG,248700
ARG,239810
ARG,235760
ARG,229212
ARG,221754
ARG,207041
ARG,206998
ARG,201273
ARG,200595
ARG,189947
ARG,178748
ARG,170028
ARG,167296
ARG,158197
ARG,153036
ARG,147636
ARG,145823
ARG,138117
ARG,134935
ARG,134355
ARG,124104
ARG,123027
ARG,119302
ARG,119152
ARG,116675
ARG,116485
ARG,113428
ARG,110136
ARG,99578
ARG,94651
ARG,91101
ARM,1248700
ARM,211700
ARM,172700
ABW,29034
AUS,3276207
AUS,2865329
AUS,1291117
AUS,1096829
AUS,978100
AUS,322723
AUS,311932
AUS,270324
AUS,227657
AUS,219761
AUS,126118
AUS,125382
AUS,109914
AUS,92273
AZE,1787800
AZE,299300
AZE,283000
AZE,93900
BHS,172000
BHR,148000
BGD,3612850
BGD,1392860
BGD,663340
BGD,294056
BGD,202134
BGD,191398
BGD,188713
BGD,170232
BGD,168702
BGD,139710
BGD,135313
BGD,130577
BGD,127815
BGD,120170
BGD,117396
BGD,109032
BGD,106004
BGD,103556
BGD,103277
BGD,101266
BGD,99669
BGD,98342
BGD,96777
BGD,96717
BRB,6070
BEL,446525
BEL,224180
BEL,200827
BEL,185639
BEL,133859
BEL,116246
BEL,105692
BEL,105419
BEL,90935
BLZ,55810
BLZ,7105
BEN,536827
BEN,194000
BEN,134099
BEN,103577
BMU,1800
BMU,1200
BTN,22000
BOL,935361
BOL,758141
BOL,534466
BOL,482800
BOL,223553
BOL,178426
BOL,140642
BOL,125255
BIH,360000
BIH,143079
BIH,96027
BWA,213017
BWA,101805
BRA,9968485
BRA,5598953
BRA,2302832
BRA,2139125
BRA,2097757
BRA,1969868
BRA,1584232
BRA,1378087
BRA,1314032
BRA,1255049
BRA,1186926
BRA,1095874
BRA,1056330
BRA,950043
BRA,869254
BRA,862225
BRA,837588
BRA,786288
BRA,746758
BRA,723132
BRA,691942
BRA,688955
BRA,659604
BRA,649593
BRA,630073
BRA,584029
BRA,558680
BRA,520801
BRA,515553
BRA,487222
BRA,479992
BRA,473276
BRA,466823
BRA,459884
BRA,453813
BRA,450288
BRA,445555
BRA,440052
BRA,432257
BRA,428011
BRA,425194
BRA,408748
BRA,400940
BRA,398418
BRA,375055
BRA,357552
BRA,354732
BRA,352497
BRA,351944
BRA,349581
BRA,339194
BRA,335078
BRA,324662
BRA,319104
BRA,319033
BRA,318758
BRA,315415
BRA,313670
BRA,309750
BRA,302666
BRA,302108
BRA,296127
BRA,294125
BRA,290139
BRA,286848
BRA,286461
BRA,286058
BRA,282197
BRA,281928
BRA,279183
BRA,270874
BRA,270626
BRA,268013
BRA,259537
BRA,259425
BRA,256033
BRA,254970
BRA,253587
BRA,249225
BRA,248473
BRA,245497
BRA,244379
BRA,244247
BRA,241771
BRA,240315
BRA,239940
BRA,238738
BRA,238473
BRA,237510
BRA,237206
BRA,232685
BRA,231724
BRA,229130
BRA,224564
BRA,223011
BRA,222223
BRA,214901
BRA,214435
BRA,210540
BRA,208426
BRA,207557
BRA,206338
BRA,201073
BRA,199636
BRA,197550
BRA,196884
BRA,196147
BRA,195434
BRA,189258
BRA,188691
BRA,187122
BRA,186205
BRA,185340
BRA,185047
BRA,182984
BRA,182222
BRA,182148
BRA,179128
BRA,178988
BRA,177764
BRA,177409
BRA,175574
BRA,174381
BRA,173977
BRA,171657
BRA,170697
BRA,170356
BRA,169303
BRA,168953
BRA,168434
BRA,167795
BRA,167661
BRA,167185
BRA,166343
BRA,164716
BRA,164704
BRA,163551
BRA,162022
BRA,160510
BRA,155115
BRA,155105
BRA,155024
BRA,153383
BRA,150664
BRA,149964
BRA,149146
BRA,146005
BRA,145197
BRA,144158
BRA,140042
BRA,139570
BRA,139283
BRA,135968
BRA,135755
BRA,133980
BRA,133321
BRA,132736
BRA,131351
BRA,129756
BRA,129683
BRA,128079
BRA,127801
BRA,127634
BRA,126820
BRA,126672
BRA,126305
BRA,126076
BRA,125982
BRA,125812
BRA,125597
BRA,125597
BRA,124489
BRA,123782
BRA,121919
BRA,121904
