"Code	SurfaceArea""	SurfaceArea
""ABW	193""	193
""AFG	652090""	652090
""AGO	1246700""	1246700
""AIA	96""	96
""ALB	28748""	28748
""AND	468""	468
""ANT	800""	800
""ARE	83600""	83600
""ARG	2780400""	2780400
""ARM	29800""	29800
""ASM	199""	199
""ATA	13120000""	13120000
""ATF	7780""	7780
""ATG	442""	442
""AUS	7741220""	7741220
""AUT	83859""	83859
""AZE	86600""	86600
""BDI	27834""	27834
""BEL	30518""	30518
""BEN	112622""	112622
""BFA	274000""	274000
""BGD	143998""	143998
""BGR	110994""	110994
""BHR	694""	694
""BHS	13878""	13878
""BIH	51197""	51197
""BLR	207600""	207600
""BLZ	22696""	22696
""BMU	53""	53
""BOL	1098581""	1098581
""BRA	8547403""	8547403
""BRB	430""	430
""BRN	5765""	5765
""BTN	47000""	47000
""BVT	59""	59
""BWA	581730""	581730
""CAF	622984""	622984
""CAN	9970610""	9970610
""CCK	14""	14
""CHE	41284""	41284
""CHL	756626""	756626
""CHN	9572900""	9572900
""CIV	322463""	322463
""CMR	475442""	475442
""COD	2344858""	2344858
""COG	342000""	342000
""COK	236""	236
""COL	1138914""	1138914
""COM	1862""	1862
""CPV	4033""	4033
""CRI	51100""	51100
""CUB	110861""	110861
""CXR	135""	135
""CYM	264""	264
""CYP	9251""	9251
""CZE	78866""	78866
""DEU	357022""	357022
""DJI	23200""	23200
""DMA	751""	751
""DNK	43094""	43094
""DOM	48511""	48511
""DZA	2381741""	2381741
""ECU	283561""	283561
""EGY	1001449""	1001449
""ERI	117600""	117600
""ESH	266000""	266000
""ESP	505992""	505992
""EST	45227""	45227
""ETH	1104300""	1104300
""FIN	338145""	338145
""FJI	18274""	18274
""FLK	12173""	12173
""FRA	551500""	551500
""FRO	1399""	1399
""FSM	702""	702
""GAB	267668""	267668
""GBR	242900""	242900
""GEO	69700""	69700
""GHA	238533""	238533
""GIB	6""	6
""GIN	245857""	245857
""GLP	1705""	1705
""GMB	11295""	11295
""GNB	36125""	36125
""GNQ	28051""	28051
""GRC	131626""	131626
""GRD	344""	344
""GRL	2166090""	2166090
""GTM	108889""	108889
""GUF	90000""	90000
""GUM	549""	549
""GUY	214969""	214969
""HKG	1075""	1075
""HMD	359""	359
""HND	112088""	112088
""HRV	56538""	56538
""HTI	27750""	27750
""HUN	93030""	93030
""IDN	1904569""	1904569
""IND	3287263""	3287263
""IOT	78""	78
""IRL	70273""	70273
""IRN	1648195""	1648195
""IRQ	438317""	438317
""ISL	103000""	103000
""ISR	21056""	21056
""ITA	301316""	301316
""JAM	10990""	10990
""JOR	88946""	88946
""JPN	377829""	377829
""KAZ	2724900""	2724900
""KEN	580367""	580367
""KGZ	199900""	199900
""KHM	181035""	181035
""KIR	726""	726
""KNA	261""	261
""KOR	99434""	99434
""KWT	17818""	17818
""LAO	236800""	236800
""LBN	10400""	10400
""LBR	111369""	111369
""LBY	1759540""	1759540
""LCA	622""	622
""LIE	160""	160
""LKA	65610""	65610
""LSO	30355""	30355
""LTU	65301""	65301
""LUX	2586""	2586
""LVA	64589""	64589
""MAC	18""	18
""MAR	446550""	446550
""MCO	1.5""	1.5
""MDA	33851""	33851
""MDG	587041""	587041
""MDV	298""	298
""MEX	1958201""	1958201
""MHL	181""	181
""MKD	25713""	25713
""MLI	1240192""	1240192
""MLT	316""	316
""MMR	676578""	676578
""MNG	1566500""	1566500
""MNP	464""	464
""MOZ	801590""	801590
""MRT	1025520""	1025520
""MSR	102""	102
""MTQ	1102""	1102
""MUS	2040""	2040
""MWI	118484""	118484
""MYS	329758""	329758
""MYT	373""	373
""NAM	824292""	824292
""NCL	18575""	18575
""NER	1267000""	1267000
""NFK	36""	36
""NGA	923768""	923768
""NIC	130000""	130000
""NIU	260""	260
""NLD	41526""	41526
""NOR	323877""	323877
""NPL	147181""	147181
""NRU	21""	21
""NZL	270534""	270534
""OMN	309500""	309500
""PAK	796095""	796095
""PAN	75517""	75517
""PCN	49""	49
""PER	1285216""	1285216
""PHL	300000""	300000
""PLW	459""	459
""PNG	462840""	462840
""POL	323250""	323250
""PRI	8875""	8875
""PRK	120538""	120538
""PRT	91982""	91982
""PRY	406752""	406752
""PSE	6257""	6257
""PYF	4000""	4000
""QAT	11000""	11000
""REU	2510""	2510
""ROM	238391""	238391
""RUS	17075400""	17075400
""RWA	26338""	26338
""SAU	2149690""	2149690
""SDN	2505813""	2505813
""SEN	196722""	196722
""SGP	618""	618
""SGS	3903""	3903
""SHN	314""	314
""SJM	62422""	62422
""SLB	28896""	28896
""SLE	71740""	71740
""SLV	21041""	21041
""SMR	61""	61
""SOM	637657""	637657
""SPM	242""	242
""STP	964""	964
""SUR	163265""	163265
""SVK	49012""	49012
""SVN	20256""	20256
""SWE	449964""	449964
""SWZ	17364""	17364
""SYC	455""	455
""SYR	185180""	185180
""TCA	430""	430
""TCD	1284000""	1284000
""TGO	56785""	56785
""THA	513115""	513115
""TJK	143100""	143100
""TKL	12""	12
""TKM	488100""	488100
""TMP	14874""	14874
""TON	650""	650
""TTO	5130""	5130
""TUN	163610""	163610
""TUR	774815""	774815
""TUV	26""	26
""TWN	36188""	36188
""TZA	883749""	883749
""UGA	241038""	241038
""UKR	603700""	603700
""UMI	16""	16
""URY	175016""	175016
""USA	9363520""	9363520
""UZB	447400""	447400
""VAT	0.4""	0.4
""VCT	388""	388
""VEN	912050""	912050
""VGB	151""	151
""VIR	347""	347
""VNM	331689""	331689
""VUT	12189""	12189
""WLF	200""	200
""WSM	2831""	2831
""YEM	527968""	527968
""YUG	102173""	102173
""ZAF	1221037""	1221037
""ZMB	752618""	752618
""ZWE	390757""	390757
"
