"playerID","award","year","lgID","note","pos","name"
"stillva01w","ABL Playoffs Most Valuable Player","1997","ABL","","",""
"stillva01w","ABL Playoffs Most Valuable Player","1998","ABL","","",""
"phillta01w","All-Star Game Most Valuable Player","1997","ABL","","",""
"enissh01w","All-Star Game Most Valuable Player","1998","ABL","","",""
"leslili01w","All-Star Game Most Valuable Player","1999","WNBA","","",""
"thompti01w","All-Star Game Most Valuable Player","2000","WNBA","","",""
"leslili01w","All-Star Game Most Valuable Player","2001","WNBA","","",""
"leslili01w","All-Star Game Most Valuable Player","2002","WNBA","","",""
"teaslni01w","All-Star Game Most Valuable Player","2003","WNBA","","",""
"swoopsh01w","All-Star Game Most Valuable Player","2005","WNBA","","",""
"douglka01w","All-Star Game Most Valuable Player","2006","WNBA","","",""
"fordch01w","All-Star Game Most Valuable Player","2007","WNBA","","",""
"cashsw01w","All-Star Game Most Valuable Player","2009","WNBA","","",""
"aglerbr99w","Coach of the Year","1997","ABL","","",""
"dunnli99wc","Coach of the Year","1998","ABL","","",""
"chancva99w","Coach of the Year","1997","WNBA","","",""
"chancva99w","Coach of the Year","1998","WNBA","","",""
"chancva99w","Coach of the Year","1999","WNBA","","",""
"coopemi01w","Coach of the Year","2000","WNBA","","",""
"hugheda99w","Coach of the Year","2001","WNBA","","",""
"stanlma99w","Coach of the Year","2002","WNBA","","",""
"laimbbi01w","Coach of the Year","2003","WNBA","","",""
"mcconsu01w","Coach of the Year","2004","WNBA","","",""
"whisejo99w","Coach of the Year","2005","WNBA","","",""
"thibami99w","Coach of the Year","2006","WNBA","","",""
"hugheda99w","Coach of the Year","2007","WNBA","","",""
"thibami99w","Coach of the Year","2008","WNBA","","",""
"meadoma99w","Coach of the Year","2009","WNBA","","",""
"blackde01w","Defensive Player of the Year","1997","ABL","","",""
"griffyo01w","Defensive Player of the Year","1998","ABL","","",""
"weathte01w","Defensive Player of the Year","1997","WNBA","","",""
"weathte01w","Defensive Player of the Year","1998","WNBA","","",""
"griffyo01w","Defensive Player of the Year","1999","WNBA","","",""
"swoopsh01w","Defensive Player of the Year","2000","WNBA","","",""
"blackde01w","Defensive Player of the Year","2001","WNBA","","",""
"swoopsh01w","Defensive Player of the Year","2002","WNBA","","",""
"swoopsh01w","Defensive Player of the Year","2003","WNBA","","",""
"leslili01w","Defensive Player of the Year","2004","WNBA","","",""
"catchta01w","Defensive Player of the Year","2005","WNBA","","",""
"catchta01w","Defensive Player of the Year","2006","WNBA","","",""
"jacksla01w","Defensive Player of the Year","2007","WNBA","","",""
"leslili01w","Defensive Player of the Year","2008","WNBA","","",""
"catchta01w","Defensive Player of the Year","2009","WNBA","","",""
"lawsoka01w","Kim Perrot Sportsmanship","2009","WNBA","","",""
"zhengha01w","Kim Perrot Sportsmanship Award","1997","WNBA","","",""
"mcconsu01w","Kim Perrot Sportsmanship Award","1998","WNBA","","",""
"staleda01w","Kim Perrot Sportsmanship Award","1999","WNBA","","",""
"mcconsu01w","Kim Perrot Sportsmanship Award","2000","WNBA","","",""
"wickssu01w","Kim Perrot Sportsmanship Award","2001","WNBA","","",""
"gilloje01w","Kim Perrot Sportsmanship Award","2002","WNBA","","",""
"campbed01w","Kim Perrot Sportsmanship Award","2003","WNBA","","",""
