"coachID","fullName","year","tmID","lgID","stint","won","lost","post_wins","post_losses","playerCoach"
"adamsmi01w","Michael Adams","2004","WAS","WNBA","0","17","17","1","2",""
"adubari99w","Richie Adubato","1999","NYL","WNBA","0","18","14","3","3",""
"adubari99w","Richie Adubato","2000","NYL","WNBA","0","20","12","4","3",""
"adubari99w","Richie Adubato","2001","NYL","WNBA","0","21","11","3","3",""
"adubari99w","Richie Adubato","2002","NYL","WNBA","0","18","14","4","4",""
"adubari99w","Richie Adubato","2003","NYL","WNBA","0","16","18","0","0",""
"adubari99w","Richie Adubato","2004","NYL","WNBA","1","7","9","0","0",""
"adubari99w","Richie Adubato","2005","WAS","WNBA","0","16","18","0","0",""
"adubari99w","Richie Adubato","2006","WAS","WNBA","0","18","16","0","2",""
"adubari99w","Richie Adubato","2007","WAS","WNBA","1","0","4","0","0",""
"aglerbr99w","Brian Agler","1997","CLS","ABL","0","31","9","5","2",""
"aglerbr99w","Brian Agler","1998","CLS","ABL","0","36","8","5","2",""
"aglerbr99w","Brian Agler","1999","CLS","ABL","1","5","1","0","0",""
"aglerbr99w","Brian Agler","1999","MIN","WNBA","0","15","17","0","0",""
"aglerbr99w","Brian Agler","2000","MIN","WNBA","0","15","17","0","0",""
"aglerbr99w","Brian Agler","2001","MIN","WNBA","0","12","20","0","0",""
"aglerbr99w","Brian Agler","2002","MIN","WNBA","1","6","13","0","0",""
"aglerbr99w","Brian Agler","2008","SEA","WNBA","0","22","12","1","2",""
"aglerbr99w","Brian Agler","2009","SEA","WNBA","0","20","14","1","2",""
"aglerbr99w","Brian Agler","2010","SEA","WNBA","0","28","6","7","0",""
"aglerbr99w","Brian Agler","2011","SEA","WNBA","0","21","13","1","2",""
"aglerbr99w","Brian Agler","2012","SEA","WNBA","0","16","18","1","2",""
"allenso99w","Sonny Allen","1999","SAC","WNBA","0","19","13","0","1",""
"allenso99w","Sonny Allen","2000","SAC","WNBA","0","21","11","0","2",""
"allenso99w","Sonny Allen","2001","SAC","WNBA","1","6","6","0","0",""
"beckan99wc","Angela Beck","1998","SJL","ABL","0","21","23","2","2",""
"beckan99wc","Angela Beck","1999","SJL","ABL","0","9","6","0","0",""
"bibbyhe01w","Henry Bibby","2005","LAS","WNBA","1","13","15","0","0",""
"boguemu01w","Muggsy Bogues","2005","CHA","WNBA","2","3","7","0","0",""
"boguemu01w","Muggsy Bogues","2006","CHA","WNBA","0","11","23","0","0",""
"bouceje01w","Jenny Boucek","2007","SAC","WNBA","0","19","15","1","2",""
"bouceje01w","Jenny Boucek","2008","SAC","WNBA","0","18","16","1","2",""
"bouceje01w","Jenny Boucek","2009","SAC","WNBA","1","3","10","0","0",""
"boyerli99w","Lisa Boyer","1997","RIC","ABL","0","21","19","4","3",""
"boyerli99w","Lisa Boyer","1998","PHR","ABL","0","13","31","0","0",""
"brondsa01w","Sandy Brondello","2010","SAS","WNBA","0","14","20","0","2",""
"brownde01w","Dee Brown","2002","ORL","WNBA","0","16","16","0","0",""
"brownde01w","Dee Brown","2004","SAS","WNBA","2","6","20","0","0",""
"brucegr99w","Greg Bruce","1997","PRT","ABL","1","5","17","0","0",""
"bryanjo01w","Joe Bryant","2005","LAS","WNBA","2","4","2","0","2",""
"bryanjo01w","Joe Bryant","2006","LAS","WNBA","0","25","9","2","3",""
"bryanjo01w","Joe Bryant","2011","LAS","WNBA","0","11","13","0","0",""
"chancva99w","Van Chancellor","1997","HOU","WNBA","0","18","10","2","0",""
"chancva99w","Van Chancellor","1998","HOU","WNBA","0","27","3","4","1",""
"chancva99w","Van Chancellor","1999","HOU","WNBA","0","26","6","4","2",""
"chancva99w","Van Chancellor","2000","HOU","WNBA","0","27","5","6","0",""
"chancva99w","Van Chancellor","2001","HOU","WNBA","0","19","13","0","2",""
"chancva99w","Van Chancellor","2002","HOU","WNBA","0","24","8","1","2",""
"chancva99w","Van Chancellor","2003","HOU","WNBA","0","20","14","1","2",""
"chancva99w","Van Chancellor","2004","HOU","WNBA","0","13","21","0","0",""
"chancva99w","Van Chancellor","2005","HOU","WNBA","0","19","15","2","3",""
"chancva99w","Van Chancellor","2006","HOU","WNBA","0","18","16","0","2",""
"chatmda99w","Pokey Chatman","2011","CHI","WNBA","0","14","20","0","0",""
"chatmda99w","Pokey Chatman","2012","CHI","WNBA","0","14","20","0","0",""
"cleamji01w","Jim Cleamons","1999","CHC","ABL","0","4","8","0","0",""
"coopecy01w","Cynthia Cooper","2001","PHO","WNBA","0","13","19","0","0",""
"coopecy01w","Cynthia Cooper","2002","PHO","WNBA","1","6","4","0","0",""
"coopemi01w","Michael Cooper","2000","LAS","WNBA","0","28","4","2","2",""
"coopemi01w","Michael Cooper","2001","LAS","WNBA","0","28","4","6","1",""
"coopemi01w","Michael Cooper","2002","LAS","WNBA","0","25","7","6","0",""
"coopemi01w","Michael Cooper","2003","LAS","WNBA","0","24","10","5","4",""
"coopemi01w","Michael Cooper","2004","LAS","WNBA","1","14","6","0","0",""
"coopemi01w","Michael Cooper","2007","LAS","WNBA","0","10","24","0","0",""
"coopemi01w","Michael Cooper","2008","LAS","WNBA","0","20","14","3","3",""
"coopemi01w","Michael Cooper","2009","LAS","WNBA","0","18","16","3","3",""
"cowenda01w","Dave Cowens","2006","CHI","WNBA","0","5","29","0","0",""
"coylepa99w","Pat Coyle","2004","NYL","WNBA","2","11","7","2","3",""
"coylepa99w","Pat Coyle","2005","NYL","WNBA","0","18","16","0","2",""
"coylepa99w","Pat Coyle","2006","NYL","WNBA","0","11","23","0","0",""
"coylepa99w","Pat Coyle","2007","NYL","WNBA","0","16","18","1","2",""
"coylepa99w","Pat Coyle","2008","NYL","WNBA","0","19","15","3","3",""
"coylepa99w","Pat Coyle","2009","NYL","WNBA","1","6","11","0","0",""
"dailesh99w","Shell Dailey","2003","SAS","WNBA","2","6","6","0","0",""
"dailesh99w","Shell Dailey","2004","SAS","WNBA","1","3","5","0","0",""
"darscna99w","Nancy Darsch","1997","NYL","WNBA","0","17","11","1","1",""
"darscna99w","Nancy Darsch","1998","NYL","WNBA","0","18","12","0","0",""
"darscna99w","Nancy Darsch","1999","WAS","WNBA","0","12","20","0","0",""
"darscna99w","Nancy Darsch","2000","WAS","WNBA","1","9","11","0","0",""
"donovan99w","Anne Donovan","1999","PHR","ABL","0","9","5","0","0",""
"donovan99w","Anne Donovan","2000","IND","WNBA","0","9","23","0","0",""
"donovan99w","Anne Donovan","2001","CHA","WNBA","0","18","14","4","4",""
"donovan99w","Anne Donovan","2002","CHA","WNBA","0","18","14","0","2",""
"donovan99w","Anne Donovan","2003","SEA","WNBA","0","18","16","0","0",""
"donovan99w","Anne Donovan","2004","SEA","WNBA","0","20","14","6","2",""
"donovan99w","Anne Donovan","2005","SEA","WNBA","0","20","14","1","2",""
"donovan99w","Anne Donovan","2006","SEA","WNBA","0","18","16","1","2",""
"donovan99w","Anne Donovan","2007","SEA","WNBA","0","17","17","0","2",""
"donovan99w","Anne Donovan","2009","NYL","WNBA","2","7","10","0","0",""
"donovan99w","Anne Donovan","2010","NYL","WNBA","0","22","12","2","3",""
"dunnli99wc","Lin Dunn","1997","PRT","ABL","2","9","9","0","0",""
"dunnli99wc","Lin Dunn","1998","PRT","ABL","0","27","17","0","2",""
"dunnli99wc","Lin Dunn","1999","PRT","ABL","0","9","4","0","0",""
"dunnli99wc","Lin Dunn","2000","SEA","WNBA","0","6","26","0","0",""
"dunnli99wc","Lin Dunn","2001","SEA","WNBA","0","10","22","0","0",""
"dunnli99wc","Lin Dunn","2002","SEA","WNBA","0","17","15","0","2",""
"dunnli99wc","Lin Dunn","2008","IND","WNBA","0","17","17","1","2",""
"dunnli99wc","Lin Dunn","2009","IND","WNBA","0","22","12","6","4",""
"dunnli99wc","Lin Dunn","2010","IND","WNBA","0","21","13","1","2",""
"dunnli99wc","Lin Dunn","2011","IND","WNBA","0","21","13","3","3",""
"dunnli99wc","Lin Dunn","2012","IND","WNBA","0","22","12","7","3",""
"dunntr01wc","T.R. Dunn","2000","CHA","WNBA","0","8","24","0","0",""
"edwarte01w","Teresa Edwards","1998","ATG","ABL","0","15","29","0","0","Y"
"edwarte01w","Teresa Edwards","2011","TUL","WNBA","0","2","21","0","0",""
"edwarto01w","Tonya Edwards","1999","CLS","ABL","2","6","2","0","0","Y"
"estessh99w","Sheryl Estes","1997","COL","ABL","0","25","15","0","2",""
"estessh99w","Sheryl Estes","1998","COL","ABL","0","21","23","1","2",""
"fortnne99w","Nell Fortner","2001","IND","WNBA","0","10","22","0","0",""
"fortnne99w","Nell Fortner","2002","IND","WNBA","0","16","16","1","2",""
"fortnne99w","Nell Fortner","2003","IND","WNBA","0","16","18","0","0",""
"fostecl99w","Cliffa Foster","1997","NEW","ABL","0","16","24","0","0",""
"gaineco01w","Corey Gaines","2008","PHO","WNBA","0","16","18","0","0",""
"gaineco01w","Corey Gaines","2009","PHO","WNBA","0","23","11","7","4",""
"gaineco01w","Corey Gaines","2010","PHO","WNBA","0","15","19","2","2",""
"gaineco01w","Corey Gaines","2011","PHO","WNBA","0","19","15","2","3",""
"gaineco01w","Corey Gaines","2012","PHO","WNBA","0","7","27","0","0",""
"gilloje01w","Jennifer Gillom","2009","MIN","WNBA","0","14","20","0","0",""
"gilloje01w","Jennifer Gillom","2010","LAS","WNBA","0","13","21","0","2",""
"gilloje01w","Jennifer Gillom","2011","LAS","WNBA","0","4","6","0","0",""
"grafca99wc","Carrie Graf","2004","PHO","WNBA","0","17","17","0","0",""
"grafca99wc","Carrie Graf","2005","PHO","WNBA","0","16","18","0","0",""
"hargrli99w","Linda Hargrove","1999","COL","ABL","0","5","8","0","0",""
"hargrli99w","Linda Hargrove","2000","POR","WNBA","0","10","22","0","0",""
"hargrli99w","Linda Hargrove","2001","POR","WNBA","0","11","21","0","0",""
"hargrli99w","Linda Hargrove","2002","POR","WNBA","0","16","16","0","0",""
"harveca99w","Candi Harvey","1999","NAS","ABL","0","4","11","0","0",""
"harveca99w","Candi Harvey","2001","UTA","WNBA","2","14","5","0","2",""
"harveca99w","Candi Harvey","2002","UTA","WNBA","0","20","12","2","3",""
"harveca99w","Candi Harvey","2003","SAS","WNBA","1","6","16","0","0",""
