"bioID","firstName","middleName","lastName","nameGiven","fullGivenName","marriedName","nameNick","pos","firstseason","lastseason","height","weight","college","collegeOther","birthDate","birthCity","birthState","birthCountry","highSchool","hsCity","hsState","hsCountry","deathDate"
"abrahta01w","Tajama","Ethia","Abraham","","Tajama Abraham","Tajama Abraham Ngongba","TJ,Taj","C","0","0","74","190","George Washington","","1975-09-27","St,Croix","","ISV","Kecoughtan","Hampton","VA","USA","0000-00-00"
"abrossv01w","Svetlana","Olegovna","Abrosimova","","Svetlana Abrosimova","","Svet,Sveta","F","0","0","74","169","Connecticut","","1980-07-09","St. Petersburg","RUS","URS","Petrogradskoi N86","St. Petersburg","","RUS","0000-00-00"
"adairje01w","Jessica","Elizabeth","Adair","","Jessica Adair","","","C","0","0","76","197","George Washington","","1986-12-19","Washington","DC","USA","Anacostia Senior","Washington","DC","USA","0000-00-00"
"adamsda01w","Danielle","E.","Adams","","Danielle Adams","","","F-C","0","0","73","239","Texas A&M","Jefferson College (JC)","1989-02-19","Kansas City","MO","USA","Lee's Summit","Lee's Summit","MO","USA","0000-00-00"
"adamsjo01w","Jordan","","Adams","","Jordan Adams","","","C","0","0","75","180","New Mexico","","1981-05-24","Las Vegas","NV","USA","Moapa Valley","Overton","NV","USA","0000-00-00"
"adamsmi01w","Michael","","Adams","","Michael Adams","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"adubari99w","Richie","","Adubato","","Richie Adubato","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"aglerbr99w","Brian","","Alger","","Brian Agler","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"aguilel01w","Elisabeth","","Aguilar Lopez","","Elisa Aguilar","","Elisa","G","0","0","67","165","George Washington","","1976-10-15","Madrid","","ESP","","","","","0000-00-00"
"ajavoma01w","Matee","","Ajavon","","Matee Ajavon","","","G","0","0","68","160","Rutgers","","1986-05-07","Monrovia","","LBR","Malcolm X. Shabazz","Newark","NJ","USA","0000-00-00"
"alberma01w","Marcie","","Alberts","","Marcie Alberts","Marcie Alberts Marsh","","G","0","0","64","0","Ohio State","","1975-04-12","Wooster","OH","USA","Orrville","Orrville","OH","USA","0000-00-00"
"aldrima01w","Markita","","Aldridge","","Markita Aldridge","Markita Aldridge-Woods","Kita","G","0","0","71","153","UNC Charlotte","","1973-09-15","Detroit","MI","USA","Martin Luther King","Detroit","MI","USA","0000-00-00"
"alexaer01w","Erin","","Alexander","","Erin Alexander","Erin Alexander Brown","","G","0","0","67","140","California-Santa Barbara","","1975-04-25","Santa Ynez","CA","USA","Santa Ynez","Santa Ynez","CA","USA","0000-00-00"
"alhalta01w","Tawona","","Alhaleem","","Tawona Alhaleem","","T","F-G","0","0","72","149","DePaul","","1974-10-17","Flint","MI","USA","Flint Central","Flint","MI","USA","0000-00-00"
"allench01w","Charel","","Allen","","Charel Allen","","","G","0","0","71","135","Notre Dame","","1986-07-23","Monessen","PA","USA","Monessen","Monessen","PA","USA","0000-00-00"
"allenso99w","Sonny","","Allen","","Sonny Allen","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"amachma01w","Mactabene","","Amachree","","Mactabene Amachree","","","F","0","0","73","175","","","1978-01-30","Port Harcourt","","NGR","","","","","0000-00-00"
"ambermo01w","Monique","","Ambers","","Monique Ambers","","","F","0","0","76","169","Arizona State","","1970-12-21","","","","","","","","0000-00-00"
"anderam01w","Ambrosia","","Anderson","","Ambrosia Anderson","","","F","0","0","72","167","Brigham Young","","1984-03-14","","","","","","","","0000-00-00"
"anderch01w","Chantelle","","Anderson","","Chantelle Anderson","","","C","0","0","78","190","Vanderbilt","","1981-01-22","","","","","","","","0000-00-00"
"anderjo01w","Jolene","","Anderson","","Jolene Anderson","","","G","0","0","68","166","Wisconsin","","1986-07-22","","","","","","","","0000-00-00"
"anderke01w","Keisha","","Anderson","","Keisha Anderson","","","G","0","0","67","125","Wisconsin","","1974-05-17","","","","","","","","0000-00-00"
"andrame01w","Mery","","Andrade","","Mery Andrade","","","F","0","0","71","165","Old Dominion","","1975-12-31","","","","","","","","0000-00-00"
"angelyv01w","Yvette","","Angel","","Yvette Angel","","","G","0","0","68","160","Ohio State","","1963-10-14","","","","Sacred Heart Academy","Amherst","NY","USA","0000-00-00"
"anosini01w","Nkolika","Nonyalem","Anosike","","Nicky Anosike","","Nicky","C","0","0","75","211","Tennessee","","1986-02-27","","","","St. Peters","Staten Island","NY","USA","0000-00-00"
"appelja01w","Jayne","Katherine","Appel","","Jayne Appel","","","C","0","0","76","210","Stanford","","1988-05-14","Berkeley","CA","USA","Carondelet","Concord","CA","USA","0000-00-00"
"arcaija01w","Janeth","dos Santos","Arcain","","Janeth Arcain","","","G","0","0","71","147","none","","1969-04-11","Carapicuiba","SPL","BRA","Minas Gerais","Santo Andres","","BRA","0000-00-00"
"artiska01w","Katasha","R.","Artis","","Katasha Artis","","","F","0","0","73","155","Northeastern","","1973-07-09","","","","","","","","0000-00-00"
"askamma01w","Marlies","","Askamp","","Marlies Askamp","","","C","0","0","77","198","none","","1970-08-07","Dousten","","GER","","","","","0000-00-00"
"atkinla01w","La'Tangela","","Atkinson","","La'Tangela Atkinson","","","G-F","0","0","72","172","North Carolina","","1984-03-22","","","","Lee Central","Bishopville","SC","USA","0000-00-00"
"atunrmo01w","Morenike","Olayinka","Atunrase","","Morenike Atunrase","","","G-F","0","0","70","143","Texas A&M","","1986-04-14","","","","","","","","0000-00-00"
"augusse01w","Seimone","Delicia","Augustus","","Seimone Augustus","","","F","0","0","72","179","Louisiana State","","1984-04-30","Baton Rouge","LA","USA","Capitol","Baton Rouge","LA","USA","0000-00-00"
"aycocan01w","Angela","","Aycock","","Angela Aycock","","","G-F","0","0","74","172","Kansas","","1973-02-28","","","","","","","","0000-00-00"
"ayimmi01w","Miranda","","Ayim","","Miranda Ayim","","","F","0","0","75","0","Pepperdine","","1988-05-06","Chatham","ON","CAN","Saunders Secondary School","London","ON","CAN","0000-00-00"
"azizle01w","Leigh","","Aziz","","Leigh Aziz","","","F","0","0","75","177","Syracuse","","1979-02-28","","","","","","","","0000-00-00"
"azzije01w","Jennifer","L.","Azzi","","Jennifer Azzi","","","G","0","0","68","143","Stanford","","1968-08-31","Oak Ridge","TN","USA","","","","","0000-00-00"
"badertr01w","Tricia","Lynne","Bader Binford","","Tricia Bader Binford","Tricia Binford","Bader Mader","G","0","0","64","125","Boise State","","1973-02-26","Boise","ID","USA","Roaring Fork","Carbondale","CO","USA","0000-00-00"
"bakerla01w","Laura","","Baker","","Laura Baker","","","G","0","0","67","140","California","","1968-12-18","","","","","","","","0000-00-00"
"bakersh01w","Sherill","","Baker","","Sherill Baker","","","G","0","0","68","125","Georgia","","1982-12-03","","","","","","","","0000-00-00"
"balesal01w","Alison","","Bales","","Alison Bales","","","C","0","0","79","218","Duke","","1985-04-04","","","","Beavercreek","Beavercreek","OH","USA","0000-00-00"
"banchrh01w","Rhonda","","Smith Banchero","","Rhonda Smith Banchero","","","C","0","0","75","185","Washington","","1973-05-01","","","","","","","","0000-00-00"
"baranel01w","Elena","Viktorovna","Baranova","","Elena Baranova","","","F","0","0","77","182","Academy of Sport Moscow","","1972-01-28","Bishkek","KYG","URS","47 Bishkek","Bishkek","KYG","URS","0000-00-00"
"barksla01w","LaQuanda","","Barksdale","","LaQuanda Barksdale","","","G","0","0","70","156","North Carolina","","1979-10-03","","","","","","","","0000-00-00"
"barnead01w","Adia","Oshun","Barnes","","Adia Barnes","Adia Coppa (Salvo Coppa 2012)","","F","0","0","71","165","Arizona","","1977-02-03","San Diego","CA","USA","Mission Bay","San Diego","CA","USA","0000-00-00"
"barnequ01w","Quacy","Maria","Barnes","","Quacy Barnes","","Q","C","0","0","77","185","Indiana","","1976-09-26","Benton Harbor","MI","USA","Benton Harbor","Benton Harbor","MI","USA","0000-00-00"
"bassmi01w","Mistie","","Bass Williams Mims","","Mistie Bass Williams Mims","Mistie Williams,Mistie Mims","","F","0","0","75","184","Duke","","1983-12-02","","","","Parker","Janesville","WI","USA","0000-00-00"
