"year","round","series","tmIDWinner","lgIDWinner","tmIDLoser","lgIDLoser","W","L"
"1997","FR","A","SJL","ABL","NEW","ABL","2","0"
"1997","SF","C","CLS","ABL","SJL","ABL","2","0"
"1997","SF","A","HOU","WNBA","CHA","WNBA","1","0"
"1997","SF","B","NYL","WNBA","PHO","WNBA","1","0"
"1997","F","C","HOU","WNBA","NYL","WNBA","1","0"
"1998","SF","A","HOU","WNBA","CHA","WNBA","2","0"
"1998","SF","B","PHO","WNBA","CLE","WNBA","2","1"
"1998","F","C","HOU","WNBA","PHO","WNBA","2","1"
"1999","FR","A","CHA","WNBA","DET","WNBA","1","0"
"1999","FR","B","LAS","WNBA","SAC","WNBA","1","0"
"1999","CF","C","HOU","WNBA","LAS","WNBA","2","1"
"1999","CF","D","NYL","WNBA","CHA","WNBA","2","1"
"1999","F","E","HOU","WNBA","NYL","WNBA","2","1"
"2000","FR","A","CLE","WNBA","ORL","WNBA","2","1"
"2000","FR","B","NYL","WNBA","WAS","WNBA","2","0"
"2000","FR","C","LAS","WNBA","PHO","WNBA","2","0"
"2000","FR","D","HOU","WNBA","SAC","WNBA","2","0"
"2000","CF","E","HOU","WNBA","LAS","WNBA","2","0"
"2000","CF","F","NYL","WNBA","CLE","WNBA","2","1"
"2000","F","G","HOU","WNBA","NYL","WNBA","2","0"
"2001","FR","A","CHA","WNBA","CLE","WNBA","2","1"
"2001","FR","B","NYL","WNBA","MIA","WNBA","2","1"
"2001","FR","C","LAS","WNBA","HOU","WNBA","2","0"
"2001","FR","D","SAC","WNBA","UTA","WNBA","2","0"
"2001","CF","E","CHA","WNBA","NYL","WNBA","2","1"
"2001","CF","F","LAS","WNBA","SAC","WNBA","2","1"
"2001","F","G","LAS","WNBA","CHA","WNBA","2","0"
"2002","FR","A","NYL","WNBA","IND","WNBA","2","1"
"2002","FR","B","WAS","WNBA","CHA","WNBA","2","0"
"2002","FR","C","LAS","WNBA","SEA","WNBA","2","0"
"2002","FR","D","UTA","WNBA","HOU","WNBA","2","1"
"2002","CF","E","NYL","WNBA","WAS","WNBA","2","1"
"2002","CF","F","LAS","WNBA","UTA","WNBA","2","0"
"2002","F","G","LAS","WNBA","NYL","WNBA","2","0"
"2003","FR","A","DET","WNBA","CLE","WNBA","2","1"
"2003","FR","B","CON","WNBA","CHA","WNBA","2","0"
"2003","FR","C","LAS","WNBA","MIN","WNBA","2","1"
"2003","FR","D","SAC","WNBA","HOU","WNBA","2","1"
"2003","CF","E","DET","WNBA","CON","WNBA","2","0"
"2003","CF","F","LAS","WNBA","SAC","WNBA","2","1"
"2003","F","G","DET","WNBA","LAS","WNBA","2","1"
"2004","FR","A","CON","WNBA","WAS","WNBA","2","1"
"2004","FR","B","NYL","WNBA","DET","WNBA","2","1"
"2004","FR","C","SEA","WNBA","MIN","WNBA","2","0"
"2004","FR","D","SAC","WNBA","LAS","WNBA","2","1"
"2004","CF","E","CON","WNBA","NYL","WNBA","2","0"
"2004","CF","F","SEA","WNBA","SAC","WNBA","2","1"
"2004","F","G","SEA","WNBA","CON","WNBA","2","1"
"2005","FR","A","CON","WNBA","DET","WNBA","2","0"
"2005","FR","B","IND","WNBA","NYL","WNBA","2","0"
"2005","FR","C","HOU","WNBA","SEA","WNBA","2","1"
"2005","FR","D","SAC","WNBA","LAS","WNBA","2","0"
"2005","CF","E","CON","WNBA","IND","WNBA","2","0"
"2005","CF","F","SAC","WNBA","HOU","WNBA","2","0"
"2005","F","G","SAC","WNBA","CON","WNBA","3","1"
"2006","FR","A","DET","WNBA","IND","WNBA","2","0"
"2006","FR","B","CON","WNBA","WAS","WNBA","2","0"
"2006","FR","C","LAS","WNBA","SEA","WNBA","2","1"
"2006","FR","D","SAC","WNBA","HOU","WNBA","2","0"
"2006","CF","E","DET","WNBA","CON","WNBA","2","1"
"2006","CF","F","SAC","WNBA","LAS","WNBA","2","0"
"2006","F","G","DET","WNBA","SAC","WNBA","3","2"
"2007","FR","A","DET","WNBA","NYL","WNBA","2","1"
"2007","FR","B","IND","WNBA","CON","WNBA","2","1"
"2007","FR","C","PHO","WNBA","SEA","WNBA","2","0"
"2007","FR","D","SAS","WNBA","SAC","WNBA","2","1"
"2007","CF","E","DET","WNBA","IND","WNBA","2","1"
"2007","CF","F","PHO","WNBA","SAS","WNBA","2","0"
"2007","F","G","PHO","WNBA","DET","WNBA","3","2"
"2008","FR","A","SAS","WNBA","SAC","WNBA","2","1"
"2008","FR","B","LAS","WNBA","SEA","WNBA","2","1"
"2008","FR","C","DET","WNBA","IND","WNBA","2","1"
"2008","FR","D","NYL","WNBA","CON","WNBA","2","1"
"2008","CF","E","SAS","WNBA","LAS","WNBA","2","1"
"2008","CF","F","DET","WNBA","NYL","WNBA","2","1"
"2008","F","G","DET","WNBA","SAS","WNBA","3","0"
"2009","FR","A","PHO","WNBA","SAS","WNBA","2","1"
"2009","FR","B","LAS","WNBA","SEA","WNBA","2","1"
"2009","FR","C","IND","WNBA","WAS","WNBA","2","0"
"2009","FR","D","DET","WNBA","ATL","WNBA","2","0"
"2009","CF","E","PHO","WNBA","LAS","WNBA","2","1"
"2009","CF","F","IND","WNBA","DET","WNBA","2","1"
"2009","F","G","PHO","WNBA","IND","WNBA","3","2"
"2010","FR","A","SEA","WNBA","LAS","WNBA","2","0"
"2010","FR","B","PHO","WNBA","SAS","WNBA","2","0"
"2010","FR","C","ATL","WNBA","WAS","WNBA","2","0"
"2010","FR","D","NYL","WNBA","IND","WNBA","2","1"
"2010","CF","E","SEA","WNBA","PHO","WNBA","2","0"
"2010","CF","F","ATL","WNBA","NYL","WNBA","2","0"
"2010","F","G","SEA","WNBA","ATL","WNBA","3","0"
"2011","FR","A","MIN","WNBA","SAS","WNBA","2","1"
"2011","FR","B","PHO","WNBA","SEA","WNBA","2","1"
"2011","FR","C","IND","WNBA","NYL","WNBA","2","1"
"2011","FR","D","ATL","WNBA","CON","WNBA","2","0"
"2011","CF","E","MIN","WNBA","PHO","WNBA","2","0"
"2011","CF","F","ATL","WNBA","IND","WNBA","2","1"
"2011","F","G","MIN","WNBA","ATL","WNBA","3","0"
"2012","FR","A","CON","WNBA","NYL","WNBA","2","0"
"2012","FR","B","IND","WNBA","ATL","WNBA","2","1"
"2012","FR","C","MIN","WNBA","SEA","WNBA","2","1"
"2012","FR","D","LAS","WNBA","SAS","WNBA","2","0"
"2012","CF","E","IND","WNBA","CON","WNBA","2","1"
"2012","CF","F","MIN","WNBA","LAS","WNBA","2","0"
"2012","F","G","IND","WNBA","MIN","WNBA","3","1"
