"year","lgID","tmID","franchID","confID","divID","rank","playoff","seeded","firstRound","semis","finals","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","tmORB","tmDRB","tmTRB","opptmORB","opptmDRB","opptmTRB","won","lost","GP","homeW","homeL","awayW","awayL","confW","confL","min","attend","arena"
"1997","ABL","ATG","ATG","EA","","3","N","0","","","","Atlanta Glory","1189","2636","659","851","220","611","486","1048","1534","721","729","354","773","105","3257","1244","2872","688","903","244","705","690","1057","1747","691","731","388","723","92","3420","74","132","206","103","126","229","18","22","40","12","8","6","14","10","14","8000","55593","Norcross Arena"
"1998","ABL","ATG","ATG","EA","","3","N","0","","","","Atlanta Glory","1190","2719","767","951","182","642","456","1005","1461","651","849","377","841","149","3329","1294","2940","746","1007","249","698","538","972","1510","704","831","446","731","69","3583","0","0","0","0","0","0","15","29","44","11","11","4","18","8","16","8875","85755","Norcross Arena"
"2008","WNBA","ATL","ATL","EA","","7","N","0","","","","Atlanta Dream","895","2258","542","725","202","598","340","737","1077","492","796","285","593","142","2534","1014","2254","679","918","172","502","401","864","1265","684","726","310","561","134","2879","0","0","0","0","0","0","4","30","34","1","16","3","14","2","18","6825","141379","Philips Arena"
"2009","WNBA","ATL","ATL","EA","","2","Y","0","L","","","Atlanta Dream","1089","2428","569","755","114","374","404","855","1259","547","741","329","590","121","2861","996","2363","624","807","181","530","353","821","1174","615","700","347","601","133","2797","0","0","0","0","0","0","18","16","34","12","5","6","11","10","12","6950","120737","Philips Arena"
"2010","WNBA","ATL","ATL","EA","","4","Y","0","W","W","L","Atlanta Dream","1087","2449","598","843","131","453","436","883","1319","666","709","304","569","141","2903","1019","2345","625","823","163","509","328","833","1161","630","720","323","578","146","2826","0","0","0","0","0","0","19","15","34","10","7","9","8","10","12","6850","106983","Philips Arena"
"2011","WNBA","ATL","ATL","EA","","3","Y","0","W","W","L","Atlanta Dream ","1084","2432","563","811","74","284","391","837","1228","627","636","317","511","181","2805","1006","2333","544","690","191","530","351","827","1178","588","694","269","593","183","2747","0","0","0","0","0","0","20","14","34","11","6","9","8","14","8","6875","110278","Philips Arena"
"2012","WNBA","ATL","ATL","EA","","3","Y","0","L","","","Atlanta Dream ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","15","34","11","6","8","9","12","10","0","92708","Philips Arena"
"1997","WNBA","CHA","CHA","EA","","3","Y","4","","L","","Charlotte Sting","719","1651","337","487","110","321","279","635","914","485","465","219","496","116","1885","686","1707","359","513","118","366","288","597","885","432","488","276","464","72","1849","0","0","0","0","0","0","15","13","28","12","2","3","11","5","7","5600","116296","Charlotte Coliseum"
"1998","WNBA","CHA","CHA","EA","","2","Y","4","","L","","Charlotte Sting","798","1855","442","624","105","377","304","677","981","512","507","273","457","96","2143","780","1878","378","529","113","381","305","663","968","470","601","242","501","108","2051","0","0","0","0","0","0","18","12","30","9","6","9","6","11","5","6000","128414","Charlotte Coliseum"
"1999","WNBA","CHA","CHA","EA","","3","Y","0","W","L","","Charlotte Sting","793","1805","410","535","108","369","268","685","953","568","560","233","469","97","2104","814","1920","378","522","136","428","318","626","944","506","597","221","440","99","2142","0","0","0","0","0","0","15","17","32","8","8","7","9","12","8","6425","113303","Charlotte Coliseum"
