"year","tmID","lgID","W","L"
"1997","CLS","ABL","5","2"
"1997","COL","ABL","1","2"
"1997","PRT","ABL","0","2"
"1997","SJL","ABL","2","2"
"1997","NEW","ABL","0","2"
"1997","HOU","WNBA","2","0"
"1997","NYL","WNBA","1","1"
"1997","CHA","WNBA","0","1"
"1997","PHO","WNBA","0","1"
"1998","HOU","WNBA","4","1"
"1998","PHO","WNBA","3","3"
"1998","CHA","WNBA","0","2"
"1998","CLE","WNBA","1","2"
"1999","LAS","WNBA","2","2"
"1999","DET","WNBA","0","1"
"1999","HOU","WNBA","4","2"
"1999","SAC","WNBA","0","1"
"1999","NYL","WNBA","3","3"
"1999","CHA","WNBA","2","2"
"2000","HOU","WNBA","6","0"
"2000","ORL","WNBA","1","2"
"2000","CLE","WNBA","3","3"
"2000","WAS","WNBA","0","2"
"2000","NYL","WNBA","4","3"
"2000","PHO","WNBA","0","2"
"2000","LAS","WNBA","2","2"
"2000","SAC","WNBA","0","2"
"2001","CLE","WNBA","1","2"
"2001","CHA","WNBA","4","4"
"2001","MIA","WNBA","1","2"
"2001","NYL","WNBA","3","3"
"2001","HOU","WNBA","0","2"
"2001","LAS","WNBA","6","1"
"2001","UTA","WNBA","0","2"
"2001","SAC","WNBA","3","2"
"2002","WAS","WNBA","3","2"
"2002","SEA","WNBA","0","2"
"2002","LAS","WNBA","6","0"
"2002","HOU","WNBA","1","2"
"2002","UTA","WNBA","2","3"
"2002","IND","WNBA","1","2"
"2002","NYL","WNBA","4","4"
"2002","CHA","WNBA","0","2"
"2003","SAC","WNBA","3","3"
"2003","CLE","WNBA","1","2"
"2003","DET","WNBA","6","2"
"2003","CHA","WNBA","0","2"
"2003","CON","WNBA","2","2"
"2003","MIN","WNBA","1","2"
"2003","LAS","WNBA","5","4"
"2003","HOU","WNBA","1","2"
"2004","WAS","WNBA","1","2"
"2004","CON","WNBA","5","3"
"2004","DET","WNBA","1","2"
"2004","NYL","WNBA","2","3"
"2004","MIN","WNBA","0","2"
"2004","SEA","WNBA","6","2"
"2004","LAS","WNBA","1","2"
"2004","SAC","WNBA","3","3"
"2005","CON","WNBA","5","3"
"2005","NYL","WNBA","0","2"
"2005","IND","WNBA","2","2"
"2005","SEA","WNBA","1","2"
"2005","HOU","WNBA","2","3"
"2005","LAS","WNBA","0","2"
"2005","SAC","WNBA","7","1"
"2005","DET","WNBA","0","2"
"2006","LAS","WNBA","2","3"
"2006","HOU","WNBA","0","2"
"2006","SAC","WNBA","6","3"
"2006","IND","WNBA","0","2"
"2006","DET","WNBA","7","3"
"2006","WAS","WNBA","0","2"
"2006","CON","WNBA","3","2"
"2006","SEA","WNBA","1","2"
"2007","NYL","WNBA","1","2"
"2007","DET","WNBA","6","5"
"2007","CON","WNBA","1","2"
"2007","IND","WNBA","3","3"
"2007","SEA","WNBA","0","2"
"2007","PHO","WNBA","7","2"
"2007","SAC","WNBA","1","2"
"2007","SAS","WNBA","2","3"
"2008","SAS","WNBA","4","5"
"2008","SEA","WNBA","1","2"
"2008","LAS","WNBA","3","3"
"2008","IND","WNBA","1","2"
"2008","DET","WNBA","7","2"
"2008","CON","WNBA","1","2"
"2008","NYL","WNBA","3","3"
"2008","SAC","WNBA","1","2"
"2009","IND","WNBA","6","4"
"2009","ATL","WNBA","0","2"
"2009","DET","WNBA","3","2"
"2009","SAS","WNBA","1","2"
"2009","PHO","WNBA","7","4"
"2009","SEA","WNBA","1","2"
"2009","LAS","WNBA","3","3"
"2009","WAS","WNBA","0","2"
"2010","LAS","WNBA","0","2"
"2010","SEA","WNBA","7","0"
"2010","SAS","WNBA","0","2"
"2010","PHO","WNBA","2","2"
"2010","WAS","WNBA","0","2"
"2010","ATL","WNBA","4","3"
"2010","IND","WNBA","1","2"
"2010","NYL","WNBA","2","3"
"2011","MIN","WNBA","7","1"
"2011","SEA","WNBA","1","2"
"2011","PHO","WNBA","2","3"
"2011","NYL","WNBA","1","2"
"2011","IND","WNBA","3","3"
"2011","CON","WNBA","0","2"
"2011","ATL","WNBA","4","4"
"2011","SAS","WNBA","1","2"
"2012","IND","WNBA","7","3"
"2012","SEA","WNBA","1","2"
"2012","MIN","WNBA","5","4"
"2012","SAS","WNBA","0","2"
"2012","LAS","WNBA","2","2"
"2012","NYL","WNBA","0","2"
"2012","CON","WNBA","3","2"
"2012","ATL","WNBA","1","2"
